dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
electricity,XGBoost,injected_10pct,4.5,10,4,0.31337594253605366,5.7,0.4830458915396478,0.7066666666666667,0.06440611887195312,1.0,0.0,0.8266666666666668,0.04293741258130201,0.9552631578947368,0.04473684210526315,0.9776315789473683,applicable,0.7272727272727273,0.07894736842105263,0.09939393939393948,-0.034210526315789476
electricity,XGBoost,injected_10pct,5.0,10,4,0.33792032797245397,4.3,0.4830458915396479,0.9400000000000001,0.09660917830792956,1.0,0.0,0.9666666666666666,0.05367176572662758,0.9921052631578947,0.007894736842105263,0.9960526315789474,applicable,0.7272727272727273,0.07894736842105263,0.23939393939393927,-0.07105263157894737
electricity,XGBoost,injected_5pct,2.0,10,2,0.19065401535405196,8.2,0.9189365834726814,0.2465873015873016,0.026828188285512374,1.0,0.0,0.39494949494949494,0.03461633175077408,0.845,0.155,0.9225,applicable,0.6095238095238095,0.065,-0.21457431457431453,0.09
electricity,XGBoost,injected_5pct,2.5,10,2,0.2151984007904523,6.1,0.5676462121975466,0.3304761904761905,0.031442998131846055,1.0,0.0,0.49603174603174605,0.03514637633753022,0.8975,0.10250000000000001,0.9487499999999999,applicable,0.6095238095238095,0.065,-0.11349206349206342,0.037500000000000006
electricity,XGBoost,injected_5pct,3.0,10,2,0.23974278622685266,5.1,0.5676462121975466,0.39666666666666667,0.04567734398020993,1.0,0.0,0.5666666666666667,0.0460043706228236,0.9225,0.0775,0.96125,applicable,0.6095238095238095,0.065,-0.042857142857142816,0.012499999999999997
electricity,XGBoost,injected_5pct,3.5,10,2,0.264287171663253,4.6,0.5163977794943222,0.44000000000000006,0.05163977794943222,1.0,0.0,0.6095238095238095,0.04918074090422115,0.9349999999999999,0.065,0.9675,applicable,0.6095238095238095,0.065,0.0,0.0
electricity,XGBoost,injected_5pct,4.0,10,2,0.28883155709965336,3.7,0.8232726023485646,0.5633333333333332,0.11488050689389182,1.0,0.0,0.7142857142857143,0.0968123852823931,0.9574999999999999,0.042499999999999996,0.97875,applicable,0.6095238095238095,0.065,0.10476190476190483,-0.022500000000000006
electricity,XGBoost,injected_5pct,4.5,10,2,0.31337594253605366,3.0,0.6666666666666666,0.7,0.17213259316477406,1.0,0.0,0.8133333333333332,0.11243653902820905,0.975,0.025,0.9875,applicable,0.6095238095238095,0.065,0.20380952380952377,-0.04
electricity,XGBoost,injected_5pct,5.0,10,2,0.33792032797245397,2.1,0.31622776601683805,0.9666666666666666,0.105409255338946,1.0,0.0,0.9800000000000001,0.06324555320336758,0.9974999999999999,0.0025,0.99875,applicable,0.6095238095238095,0.065,0.3704761904761906,-0.0625
electricity,XGBoost,proxy_robust_z,2.0,10,0,0.19065401535405196,5.7,1.0593499054713804,,,,,,,0.8642857142857142,0.1357142857142857,,not_applicable_no_positive_reference,,0.047619047619047616,,0.08809523809523809
electricity,XGBoost,proxy_robust_z,2.5,10,0,0.2151984007904523,3.3,0.6749485577105528,,,,,,,0.9214285714285715,0.07857142857142857,,not_applicable_no_positive_reference,,0.047619047619047616,,0.030952380952380953
electricity,XGBoost,proxy_robust_z,3.0,10,0,0.23974278622685266,2.2,0.42163702135578385,,,,,,,0.9476190476190476,0.052380952380952375,,not_applicable_no_positive_reference,,0.047619047619047616,,0.004761904761904759
electricity,XGBoost,proxy_robust_z,3.5,10,0,0.264287171663253,2.0,0.0,,,,,,,0.9523809523809523,0.047619047619047616,,not_applicable_no_positive_reference,,0.047619047619047616,,0.0
electricity,XGBoost,proxy_robust_z,4.0,10,0,0.28883155709965336,1.9,0.31622776601683794,,,,,,,0.9547619047619047,0.04523809523809523,,not_applicable_no_positive_reference,,0.047619047619047616,,-0.0023809523809523864
electricity,XGBoost,proxy_robust_z,4.5,10,0,0.31337594253605366,1.3,0.6749485577105528,,,,,,,0.9690476190476189,0.030952380952380953,,not_applicable_no_positive_reference,,0.047619047619047616,,-0.016666666666666663
electricity,XGBoost,proxy_robust_z,5.0,10,0,0.33792032797245397,0.2,0.4216370213557839,,,,,,,0.9952380952380953,0.0047619047619047615,,not_applicable_no_positive_reference,,0.047619047619047616,,-0.04285714285714286
