dataset,model,k_mad,n_runs,macro_F1_mean,macro_F1_std,macro_Precision_mean,macro_Recall_mean,macro_FalsePositiveRate_mean,baseline_macro_F1_mean,baseline_macro_FalsePositiveRate_mean,macro_F1_change_vs_baseline,macro_FalsePositiveRate_change_vs_baseline
electricity,NFGA-Core,2.5,10,0.34141521363860194,0.04137267697778306,0.20761040713672294,1.0,0.32414473684210526,0.4345510567863509,0.2218421052631579,-0.09313584314774898,0.10230263157894737
electricity,NFGA-Core,3.0,10,0.3856081867461967,0.04190639151348297,0.24154486728628605,1.0,0.27782894736842106,0.4345510567863509,0.2218421052631579,-0.04894287004015424,0.05598684210526317
electricity,NFGA-Core,3.5,10,0.4345510567863509,0.03374086616540609,0.2804711954711955,1.0,0.2218421052631579,0.4345510567863509,0.2218421052631579,0.0,0.0
electricity,NFGA-Core,4.0,10,0.49931952808113794,0.05803745523682653,0.33814859976624684,1.0,0.16848684210526316,0.4345510567863509,0.2218421052631579,0.06476847129478702,-0.05335526315789474
electricity,NFGA-Core,4.5,10,0.5254130424099464,0.05639615683097412,0.3616891441891442,1.0,0.15302631578947368,0.4345510567863509,0.2218421052631579,0.09086198562359543,-0.06881578947368422
electricity,NFGA-Core,5.0,10,0.5594911864880905,0.06761120788607446,0.3941963591963592,1.0,0.12940789473684208,0.4345510567863509,0.2218421052631579,0.12494012970173957,-0.09243421052631581
electricity,NFGA-LINEAR,2.0,10,0.41815916797340946,0.032658576851497506,0.26568828230592934,1.0,0.2129605263157895,0.6395604395604395,0.08934210526315789,-0.22140127158703005,0.1236184210526316
electricity,NFGA-LINEAR,2.5,10,0.4931325863678805,0.03537756031315181,0.3287395937395937,1.0,0.1588815789473684,0.6395604395604395,0.08934210526315789,-0.14642785319255902,0.06953947368421051
electricity,NFGA-LINEAR,3.0,10,0.6067765567765567,0.037103171464031054,0.4377777777777778,1.0,0.10631578947368421,0.6395604395604395,0.08934210526315789,-0.03278388278388278,0.01697368421052632
electricity,NFGA-LINEAR,3.5,10,0.6395604395604395,0.02911006216397674,0.47111111111111115,1.0,0.08934210526315789,0.6395604395604395,0.08934210526315789,0.0,0.0
electricity,NFGA-LINEAR,4.0,10,0.6697435897435897,0.02982403895735306,0.5055555555555555,1.0,0.08039473684210527,0.6395604395604395,0.08934210526315789,0.03018315018315021,-0.00894736842105262
electricity,NFGA-LINEAR,4.5,10,0.6933333333333334,0.04661372658534012,0.5333333333333333,1.0,0.07125,0.6395604395604395,0.08934210526315789,0.05377289377289385,-0.018092105263157895
electricity,NFGA-LINEAR,5.0,10,0.7296969696969697,0.0396083262485737,0.5785714285714285,1.0,0.06368421052631579,0.6395604395604395,0.08934210526315789,0.09013653013653022,-0.025657894736842102
electricity,Persistence,2.0,1,0.5934065934065934,,0.4222222222222222,1.0,0.10328947368421051,0.6666666666666666,0.07763157894736841,-0.07326007326007322,0.025657894736842102
electricity,Persistence,2.5,1,0.5934065934065934,,0.4222222222222222,1.0,0.10328947368421051,0.6666666666666666,0.07763157894736841,-0.07326007326007322,0.025657894736842102
electricity,Persistence,3.0,1,0.5934065934065934,,0.4222222222222222,1.0,0.10328947368421051,0.6666666666666666,0.07763157894736841,-0.07326007326007322,0.025657894736842102
electricity,Persistence,3.5,1,0.6666666666666666,,0.5,1.0,0.07763157894736841,0.6666666666666666,0.07763157894736841,0.0,0.0
electricity,Persistence,4.0,1,0.6666666666666666,,0.5,1.0,0.07763157894736841,0.6666666666666666,0.07763157894736841,0.0,0.0
electricity,Persistence,4.5,1,0.6666666666666666,,0.5,1.0,0.07763157894736841,0.6666666666666666,0.07763157894736841,0.0,0.0
electricity,Persistence,5.0,1,0.6666666666666666,,0.5,1.0,0.07763157894736841,0.6666666666666666,0.07763157894736841,0.0,0.0
electricity,SeasonalNaive,2.0,1,0.8444444444444444,,0.7333333333333334,1.0,0.025657894736842105,1.0,0.0,-0.15555555555555556,0.025657894736842105
electricity,SeasonalNaive,2.5,1,0.8444444444444444,,0.7333333333333334,1.0,0.025657894736842105,1.0,0.0,-0.15555555555555556,0.025657894736842105
electricity,SeasonalNaive,3.0,1,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,3.5,1,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,4.0,1,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,4.5,1,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
electricity,SeasonalNaive,5.0,1,1.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0
electricity,XGBoost,2.0,10,0.44048128342245985,0.02472361413286934,0.28396631146631146,1.0,0.1893421052631579,0.6683982683982684,0.07197368421052631,-0.2279169849758086,0.11736842105263158
electricity,XGBoost,2.5,10,0.5137301587301587,0.028320596982264953,0.34645021645021645,1.0,0.14467105263157895,0.6683982683982684,0.07197368421052631,-0.15466810966810973,0.07269736842105264
electricity,XGBoost,3.0,10,0.6014085914085914,0.04764651235561749,0.4331024531024531,1.0,0.1005921052631579,0.6683982683982684,0.07197368421052631,-0.06698967698967706,0.028618421052631585
electricity,XGBoost,3.5,10,0.6683982683982684,0.024590370452110613,0.5057142857142857,1.0,0.07197368421052631,0.6683982683982684,0.07197368421052631,0.0,0.0
electricity,XGBoost,4.0,10,0.7470418470418471,0.0594744208939435,0.6026190476190476,1.0,0.05151315789473684,0.6683982683982684,0.07197368421052631,0.07864357864357863,-0.020460526315789478
