dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
ilinet,LSTM,55,forecast_original,52,3.574371185999553,0.010083641173038744,19588,4897,0.8498749342270195,small,16,0.001,12,0.8037070278495534,0.5371228004535866,17.883018293814043,0.825280564392309,0.825280564392309,0,7,,,,forecast_only
ilinet,LSTM,55,injected_5pct,52,3.574371185999553,0.009971043653824662,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,11,0.2727272727272727,1.0,0.42857142857142855,applicable
ilinet,LSTM,55,injected_10pct,52,3.574371185999553,0.009909899980759572,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,9,0.3333333333333333,0.6,0.42857142857142855,applicable
ilinet,LSTM,55,proxy_robust_z,52,3.574371185999553,0.00965414207700213,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
ilinet,LSTM,66,forecast_original,52,2.229268389000026,0.010059380538450569,19588,4897,0.8498749342270195,small,16,0.001,12,0.6812554178785413,0.40422895153300964,12.340531758792023,0.8744647694394682,0.8744647694394682,0,7,,,,forecast_only
ilinet,LSTM,66,injected_5pct,52,2.229268389000026,0.010316864557773022,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,10,0.3,1.0,0.46153846153846156,applicable
ilinet,LSTM,66,injected_10pct,52,2.229268389000026,0.010210237499974868,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,9,0.3333333333333333,0.6,0.42857142857142855,applicable
ilinet,LSTM,66,proxy_robust_z,52,2.229268389000026,0.010744535307682011,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
ilinet,LSTM,77,forecast_original,52,2.4583518170002208,0.014637314480751229,19588,4897,0.8498749342270195,small,16,0.001,12,0.6928397244373741,0.39272399486344384,12.475033510311574,0.8701591808207412,0.8701591808207412,0,7,,,,forecast_only
ilinet,LSTM,77,injected_5pct,52,2.4583518170002208,0.014885785653737353,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,11,0.2727272727272727,1.0,0.42857142857142855,applicable
ilinet,LSTM,77,injected_10pct,52,2.4583518170002208,0.01367793726922173,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,10,0.4,0.8,0.5333333333333333,applicable
ilinet,LSTM,77,proxy_robust_z,52,2.4583518170002208,0.03416724125000096,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
ilinet,LSTM,88,forecast_original,52,2.280420242999753,0.010290700346191582,19588,4897,0.8498749342270195,small,16,0.001,12,0.9025363344706776,0.5359048647984468,14.570782938677654,0.7796692687005111,0.7796692687005111,0,11,,,,forecast_only
ilinet,LSTM,88,injected_5pct,52,2.280420242999753,0.010109786307688969,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,15,0.2,1.0,0.3333333333333333,applicable
ilinet,LSTM,88,injected_10pct,52,2.280420242999753,0.010538867711689957,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,10,0.3,0.6,0.4,applicable
ilinet,LSTM,88,proxy_robust_z,52,2.280420242999753,0.010227390634624429,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,11,0.7272727272727273,0.7272727272727273,0.7272727272727273,applicable
