dataset,detector,detector_category,stochastic,seed,scenario,window_size,n_fit_windows,n_validation_windows,validation_target_fpr,score_threshold,training_time_sec,inference_latency_sec,model_size_bytes,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
electricity,IsolationForest,independent_window_detector,True,11,injected_5pct,16,120,30,0.05,-0.031697472062060306,0.8629844510005569,0.0010408719523790448,1967916,0,11,29,2,2,11,0.0,0.0,0.0,0.725,0.275,0.3625,applicable
electricity,IsolationForest,independent_window_detector,True,11,injected_10pct,16,120,30,0.05,-0.031697472062060306,0.8629844510005569,0.0011693609999816718,1967916,3,25,13,1,4,28,0.10714285714285714,0.75,0.1875,0.34210526315789475,0.6578947368421053,0.5460526315789473,applicable
electricity,IsolationForest,independent_window_detector,True,11,proxy_robust_z,16,120,30,0.05,-0.031697472062060306,0.8629844510005569,0.0015969142619247751,1967916,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,22,injected_5pct,16,120,30,0.05,-0.02943076596316896,0.7747169739996025,0.0008062143571502626,2048533,0,12,28,2,2,12,0.0,0.0,0.0,0.7,0.3,0.35,applicable
electricity,IsolationForest,independent_window_detector,True,22,injected_10pct,16,120,30,0.05,-0.02943076596316896,0.7747169739996025,0.0008569279761797502,2048533,3,24,14,1,4,27,0.1111111111111111,0.75,0.1935483870967742,0.3684210526315789,0.631578947368421,0.5592105263157895,applicable
electricity,IsolationForest,independent_window_detector,True,22,proxy_robust_z,16,120,30,0.05,-0.02943076596316896,0.7747169739996025,0.000793075476178187,2048533,0,4,38,0,0,4,,,,0.9047619047619048,0.09523809523809523,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,33,injected_5pct,16,120,30,0.05,-0.025538474716277904,0.9414710920000289,0.0019534874285714716,2043781,0,11,29,2,2,11,0.0,0.0,0.0,0.725,0.275,0.3625,applicable
electricity,IsolationForest,independent_window_detector,True,33,injected_10pct,16,120,30,0.05,-0.025538474716277904,0.9414710920000289,0.0014938364999926264,2043781,3,25,13,1,4,28,0.10714285714285714,0.75,0.1875,0.34210526315789475,0.6578947368421053,0.5460526315789473,applicable
electricity,IsolationForest,independent_window_detector,True,33,proxy_robust_z,16,120,30,0.05,-0.025538474716277904,0.9414710920000289,0.0018777822857113538,2043781,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,44,injected_5pct,16,120,30,0.05,-0.03338443832280569,1.30826720999994,0.0017188631428498844,1984284,0,13,27,2,2,13,0.0,0.0,0.0,0.675,0.325,0.3375,applicable
