dataset,model,model_type,seed,scenario,n_eval,K,training_time_sec,mean_inference_latency_sec,model_size_bytes,generations_ran,final_objective,threshold,mean_max_membership,mean_membership,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,NFGA-LINEAR,linear,55,forecast_original,84,2,1.0059018629999628,7.509652378498036e-05,1696,40,0.13317137468863938,419.8436433184498,0.9806959014540372,0.4999999999995029,134.7627682445342,117.98555843590141,49.74970770618001,0.9059500698799717,0.9059500698799717,0,0,,,,forecast_only
cholera,NFGA-LINEAR,linear,55,injected_5pct,84,2,1.0059018629999628,6.461428559608369e-05,1696,40,0.13317137468863938,419.8436433184498,0.977940302101491,0.4999999999994979,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-LINEAR,linear,55,injected_10pct,84,2,1.0059018629999628,7.359542857037533e-05,1696,40,0.13317137468863938,419.8436433184498,0.9795484140202269,0.49999999999949907,,,,,,8,7,0.5714285714285714,0.5,0.5333333333333333,applicable
cholera,NFGA-LINEAR,linear,55,proxy_robust_z,84,2,1.0059018629999628,6.542614290169912e-05,1696,40,0.13317137468863938,419.8436433184498,0.9806959014540372,0.4999999999995029,,,,,,0,0,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,66,forecast_original,84,2,0.9819744870001159,6.77777500294767e-05,1696,40,0.1317776233163788,419.8436433184498,0.5282920290629116,0.49999999999961997,126.77256822068634,107.37866908221544,45.44669204554262,0.9167720481363749,0.9167720481363749,0,0,,,,forecast_only
cholera,NFGA-LINEAR,linear,66,injected_5pct,84,2,0.9819744870001159,6.423732148028822e-05,1696,40,0.1317776233163788,419.8436433184498,0.5202539759559802,0.4999999999996118,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-LINEAR,linear,66,injected_10pct,84,2,0.9819744870001159,6.437834521680738e-05,1696,40,0.1317776233163788,419.8436433184498,0.5208974263002093,0.4999999999996121,,,,,,8,7,0.5714285714285714,0.5,0.5333333333333333,applicable
cholera,NFGA-LINEAR,linear,66,proxy_robust_z,84,2,0.9819744870001159,6.877090476380199e-05,1696,40,0.1317776233163788,419.8436433184498,0.5282920290629116,0.49999999999961997,,,,,,0,0,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,77,forecast_original,84,3,0.5745471809996161,6.978255950820138e-05,2544,21,0.13298625926025456,419.8436433184498,0.4581121120713362,0.3333333333331776,203.3380551786156,182.6687045062526,112.35980952942879,0.7858806279426603,0.7858806279426603,0,2,,,,forecast_only
cholera,NFGA-LINEAR,linear,77,injected_5pct,84,3,0.5745471809996161,6.310694050712517e-05,2544,21,0.13298625926025456,419.8436433184498,0.4716771288340543,0.333333333333159,,,,,,4,10,0.4,1.0,0.5714285714285714,applicable
cholera,NFGA-LINEAR,linear,77,injected_10pct,84,3,0.5745471809996161,7.850433333563463e-05,2544,21,0.13298625926025456,419.8436433184498,0.46841986570061533,0.33333333333316545,,,,,,8,9,0.4444444444444444,0.5,0.47058823529411764,applicable
cholera,NFGA-LINEAR,linear,77,proxy_robust_z,84,3,0.5745471809996161,6.122545237087165e-05,2544,21,0.13298625926025456,419.8436433184498,0.4581121120713362,0.3333333333331776,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,88,forecast_original,84,3,0.394471896000141,0.0001001544047496628,2544,15,0.13283296892272348,419.8436433184498,0.4237191436902641,0.3333333333331915,218.2377412615556,206.80135894011786,67.97442729452065,0.7533515751128166,0.7533515751128166,0,2,,,,forecast_only
cholera,NFGA-LINEAR,linear,88,injected_5pct,84,3,0.394471896000141,7.236028572844502e-05,2544,15,0.13283296892272348,419.8436433184498,0.44080567009446076,0.33333333333318277,,,,,,4,10,0.4,1.0,0.5714285714285714,applicable
cholera,NFGA-LINEAR,linear,88,injected_10pct,84,3,0.394471896000141,6.809269053692766e-05,2544,15,0.13283296892272348,419.8436433184498,0.43498853666286325,0.3333333333331857,,,,,,8,9,0.4444444444444444,0.5,0.47058823529411764,applicable
cholera,NFGA-LINEAR,linear,88,proxy_robust_z,84,3,0.394471896000141,6.186309516514095e-05,2544,15,0.13283296892272348,419.8436433184498,0.4237191436902641,0.3333333333331915,,,,,,0,2,,,,not_applicable_no_positive_reference
cholera,NFGA-LINEAR,linear,99,forecast_original,84,3,1.0195846099995833,7.160904765225409e-05,2544,40,0.13075420825588888,419.8436433184498,0.3356791670418628,0.3333333333332212,112.93697005834922,81.14731525868324,78.50136750217081,0.933947251401489,0.933947251401489,0,1,,,,forecast_only
cholera,NFGA-LINEAR,linear,99,injected_5pct,84,3,1.0195846099995833,7.146953564751173e-05,2544,40,0.13075420825588888,419.8436433184498,0.3601670606426082,0.3333333333332111,,,,,,4,9,0.4444444444444444,1.0,0.6153846153846154,applicable
cholera,NFGA-LINEAR,linear,99,injected_10pct,84,3,1.0195846099995833,6.31945833469044e-05,2544,40,0.13075420825588888,419.8436433184498,0.35129731090726035,0.3333333333332148,,,,,,8,8,0.5,0.5,0.5,applicable
cholera,NFGA-LINEAR,linear,99,proxy_robust_z,84,3,1.0195846099995833,6.835552386248656e-05,2544,40,0.13075420825588888,419.8436433184498,0.3356791670418628,0.3333333333332212,,,,,,0,1,,,,not_applicable_no_positive_reference
