dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,window_size__half,window_size,half,99,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,28,0.738669337999454,7.639788089450339e-05,1296,238.4999925298026,219.4505388979016,114.15302666337368,0.7054253504176593,0.7054253504176593
cholera,window_size__half,window_size,half,110,26,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,0.9990309980003076,7.389438090805405e-05,1296,210.86912880622097,190.8963590331914,113.26322625550009,0.7697261417044203,0.7697261417044203
cholera,window_size__one_point_five,window_size,one_point_five,11,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,4,32,0.8670024059993011,6.523377380420113e-05,5056,130.30389967514378,99.63087420413075,85.34958459909596,0.9120707322023033,0.9120707322023033
cholera,window_size__one_point_five,window_size,one_point_five,22,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,35,0.9406780019999132,6.735577387319478e-05,3792,101.0596382470848,63.16832233975734,35.065379257883365,0.9471099340207129,0.9471099340207129
cholera,window_size__one_point_five,window_size,one_point_five,33,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.1034459770007743,6.195807137980107e-05,2528,116.81636178818816,78.50608472936108,23.932045137754976,0.9293314822110557,0.9293314822110557
cholera,window_size__one_point_five,window_size,one_point_five,44,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,5,19,0.5449639990001742,6.465516668998004e-05,6320,97.5875801683145,63.583671936813396,25.688647752901378,0.9506817419706458,0.9506817419706458
cholera,window_size__one_point_five,window_size,one_point_five,55,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.2167522449999524,0.00010231605952391138,2528,146.20007844613744,120.4739372357406,104.55659755921015,0.8893086099038657,0.8893086099038657
cholera,window_size__one_point_five,window_size,one_point_five,66,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.3974630980001166,0.00013412307138034002,2528,153.97367858694236,129.55213163017146,107.3734358161668,0.8772245311008563,0.8772245311008563
cholera,window_size__one_point_five,window_size,one_point_five,77,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,40,1.4661321229996247,9.942851193045499e-05,3792,195.2975355000518,173.66727768282936,111.48368247442357,0.8024795092630828,0.8024795092630828
cholera,window_size__one_point_five,window_size,one_point_five,88,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,3,28,1.0321188000007169,0.0001293039642643548,3792,100.42291861657931,62.36194511492328,21.788548295765388,0.9477742953163346,0.9477742953163346
cholera,window_size__one_point_five,window_size,one_point_five,99,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,4,30,0.9945013570004448,6.584757143389739e-05,5056,141.41744062986436,113.44510186896193,97.71011273569728,0.8964322416311499,0.8964322416311499
cholera,window_size__one_point_five,window_size,one_point_five,110,78,2,8,25,40,0.9,0.25,0.25,0.3,0.005,1e-06,2,40,1.01835580199986,6.986975006925821e-05,2528,114.84631169327855,93.47647469334713,42.006342255228454,0.9316949623862328,0.9316949623862328
cholera,lambda_rules__0,lambda_rules,0,11,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,8,27,0.7710760660002052,6.873210718151226e-05,6784,107.43574348085399,73.46936460140664,62.41003209409849,0.9402254634784559,0.9402254634784559
cholera,lambda_rules__0,lambda_rules,0,22,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,8,40,1.1061577090003993,7.005003569593966e-05,6784,116.76021678689769,85.86490596782333,84.8293615051641,0.9293993961654938,0.9293993961654938
cholera,lambda_rules__0,lambda_rules,0,33,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,6,40,1.1232621829994969,6.626508328129906e-05,5088,99.31084436994902,60.54353113670347,21.362475377803484,0.9489245761880556,0.9489245761880556
cholera,lambda_rules__0,lambda_rules,0,44,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,4,40,1.1183558270004141,6.514726191025624e-05,3392,156.594279339497,132.53243004070077,107.95726535053942,0.8730097391883658,0.8730097391883658
cholera,lambda_rules__0,lambda_rules,0,55,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,8,40,1.1397983280003245,7.229148812777047e-05,6784,116.10280028913988,94.27481151694663,41.355542578932585,0.9301921890592725,0.9301921890592725
cholera,lambda_rules__0,lambda_rules,0,66,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,8,35,0.9867713250005181,7.276634528352588e-05,6784,117.50056253799113,86.80236537593099,86.13177480036315,0.9285012380421618,0.9285012380421618
cholera,lambda_rules__0,lambda_rules,0,77,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,8,40,1.1321146310001495,0.0001252328809836659,6784,129.69341065734366,100.76649097726602,96.27413475984706,0.9128927199443798,0.9128927199443798
cholera,lambda_rules__0,lambda_rules,0,88,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,7,40,1.1874457339999935,0.00012516132142081915,5936,96.3534794497853,56.04332548534093,18.425186893114606,0.9519212204750862,0.9519212204750862
cholera,lambda_rules__0,lambda_rules,0,99,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,8,40,1.4793015489995014,9.88792261566795e-05,6784,157.91586371021882,140.65357828546863,52.512075740036444,0.8708572143067149,0.8708572143067149
cholera,lambda_rules__0,lambda_rules,0,110,52,2,8,25,40,0.9,0.25,0.25,0.3,0.0,1e-06,7,40,1.4642418789999283,0.00010175853575284626,5936,123.13215735573365,92.80130802829565,90.07705041574535,0.9214833778712486,0.9214833778712486
cholera,lambda_rules__0.02,lambda_rules,0.02,11,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,18,0.6029415189996143,9.951205949965654e-05,1696,95.23051908168333,56.310500025256836,19.72199371645069,0.9530353669552487,0.9530353669552487
cholera,lambda_rules__0.02,lambda_rules,0.02,22,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,40,1.3455964969998604,0.00010189011902097956,1696,95.23722271578228,55.73647235549135,19.03270597955212,0.9530287546885148,0.9530287546885148
cholera,lambda_rules__0.02,lambda_rules,0.02,33,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,40,0.9477174340008787,5.9658416689888415e-05,1696,174.61283242885182,162.1432246504877,62.21242006320678,0.8421040667450328,0.8421040667450328
cholera,lambda_rules__0.02,lambda_rules,0.02,44,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,26,0.6287922370001979,6.043560720822175e-05,1696,189.12316368933548,176.10144338296837,61.788646214070084,0.8147713853323374,0.8147713853323374
cholera,lambda_rules__0.02,lambda_rules,0.02,55,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,38,0.8922151449996818,6.722782140535682e-05,1696,98.63578376429994,61.38649004838604,22.34193493178751,0.9496165816194926,0.9496165816194926
cholera,lambda_rules__0.02,lambda_rules,0.02,66,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,40,0.9394854089996443,6.0451904714465766e-05,1696,171.07328767512433,157.3931560359969,58.13195382657413,0.8484405454589381,0.8484405454589381
cholera,lambda_rules__0.02,lambda_rules,0.02,77,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,34,0.7742104609997114,6.0937142886056485e-05,1696,186.44875315960016,173.32372390374852,61.25718418513593,0.8199730196139179,0.8199730196139179
