dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,threshold,n_estimators,max_depth,learning_rate,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
electricity,XGBoost,33,injected_5pct,42,1.622261127999991,0.000823129238066637,305231,0.2642871716632531,200,4,0.03,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,XGBoost,33,injected_10pct,42,1.622261127999991,0.0016438692143007454,305231,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,33,proxy_robust_z,42,1.622261127999991,0.0020349194047477276,305231,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,44,forecast_original,42,0.5322723149997728,0.0012368058571610163,301559,0.2642871716632531,200,4,0.03,0.13283067352714284,0.10872466829668229,12.262841973667191,0.6735362842661983,0.6735362842661983,0,2,,,,forecast_only
electricity,XGBoost,44,injected_5pct,42,0.5322723149997728,0.002479983785709313,301559,0.2642871716632531,200,4,0.03,,,,,,2,5,0.4,1.0,0.5714285714285714,applicable
electricity,XGBoost,44,injected_10pct,42,0.5322723149997728,0.0024093575952325147,301559,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,44,proxy_robust_z,42,0.5322723149997728,0.0005357303571145167,301559,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,55,forecast_original,42,0.12801961100012704,0.0004991905476301673,302783,0.2642871716632531,200,4,0.03,0.1288168685915551,0.10617978632380402,11.920487337283566,0.6929679974632506,0.6929679974632506,0,2,,,,forecast_only
electricity,XGBoost,55,injected_5pct,42,0.12801961100012704,0.0006858953809764248,302783,0.2642871716632531,200,4,0.03,,,,,,2,5,0.4,1.0,0.5714285714285714,applicable
electricity,XGBoost,55,injected_10pct,42,0.12801961100012704,0.0005234072857114196,302783,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,55,proxy_robust_z,42,0.12801961100012704,0.0004690868095492208,302783,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
